row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,MAGIC-hypo_0_ACTIN_+_1,MAGIC-hypo_0_POOF_+_3,MAGIC-hypo_12_MAGIC_+_2,MAGIC-hypo_24_ACTIN_+_1,MAGIC-hypo_24_POOF_+_3,MAGIC-hypo_48_MAGIC_+_2,MAGIC-null_0_ACTIN_+_1,MAGIC-null_0_POOF_+_3,MAGIC-null_12_MAGIC_+_2,MAGIC-null_24_ACTIN_+_1,MAGIC-null_24_POOF_+_3,MAGIC-null_48_MAGIC_+_2,MAGIC-siRNA_0_ACTIN_+_1,MAGIC-siRNA_0_POOF_+_3,MAGIC-siRNA_12_MAGIC_+_2,MAGIC-siRNA_24_ACTIN_+_1,MAGIC-siRNA_24_POOF_+_3,MAGIC-siRNA_48_MAGIC_+_2,MAGIC-WT_0_ACTIN_+_1,MAGIC-WT_0_POOF_+_3,MAGIC-WT_12_MAGIC_+_2,MAGIC-WT_24_ACTIN_+_1,MAGIC-WT_24_POOF_+_3,MAGIC-WT_48_MAGIC_+_2
B,MAGIC-hypo_0_ACTIN_-_1,MAGIC-hypo_0_POOF_-_3,MAGIC-hypo_12_MAGIC_-_2,MAGIC-hypo_24_ACTIN_-_1,MAGIC-hypo_24_POOF_-_3,MAGIC-hypo_48_MAGIC_-_2,MAGIC-null_0_ACTIN_-_1,MAGIC-null_0_POOF_-_3,MAGIC-null_12_MAGIC_-_2,MAGIC-null_24_ACTIN_-_1,MAGIC-null_24_POOF_-_3,MAGIC-null_48_MAGIC_-_2,MAGIC-siRNA_0_ACTIN_-_1,MAGIC-siRNA_0_POOF_-_3,MAGIC-siRNA_12_MAGIC_-_2,MAGIC-siRNA_24_ACTIN_-_1,MAGIC-siRNA_24_POOF_-_3,MAGIC-siRNA_48_MAGIC_-_2,MAGIC-WT_0_ACTIN_-_1,MAGIC-WT_0_POOF_-_3,MAGIC-WT_12_MAGIC_-_2,MAGIC-WT_24_ACTIN_-_1,MAGIC-WT_24_POOF_-_3,MAGIC-WT_48_MAGIC_-_2
C,MAGIC-hypo_0_ACTIN_+_2,MAGIC-hypo_0_WAND_+_1,MAGIC-hypo_12_MAGIC_+_3,MAGIC-hypo_24_ACTIN_+_2,MAGIC-hypo_24_WAND_+_1,MAGIC-hypo_48_MAGIC_+_3,MAGIC-null_0_ACTIN_+_2,MAGIC-null_0_WAND_+_1,MAGIC-null_12_MAGIC_+_3,MAGIC-null_24_ACTIN_+_2,MAGIC-null_24_WAND_+_1,MAGIC-null_48_MAGIC_+_3,MAGIC-siRNA_0_ACTIN_+_2,MAGIC-siRNA_0_WAND_+_1,MAGIC-siRNA_12_MAGIC_+_3,MAGIC-siRNA_24_ACTIN_+_2,MAGIC-siRNA_24_WAND_+_1,MAGIC-siRNA_48_MAGIC_+_3,MAGIC-WT_0_ACTIN_+_2,MAGIC-WT_0_WAND_+_1,MAGIC-WT_12_MAGIC_+_3,MAGIC-WT_24_ACTIN_+_2,MAGIC-WT_24_WAND_+_1,MAGIC-WT_48_MAGIC_+_3
D,MAGIC-hypo_0_ACTIN_-_2,MAGIC-hypo_0_WAND_-_1,MAGIC-hypo_12_MAGIC_-_3,MAGIC-hypo_24_ACTIN_-_2,MAGIC-hypo_24_WAND_-_1,MAGIC-hypo_48_MAGIC_-_3,MAGIC-null_0_ACTIN_-_2,MAGIC-null_0_WAND_-_1,MAGIC-null_12_MAGIC_-_3,MAGIC-null_24_ACTIN_-_2,MAGIC-null_24_WAND_-_1,MAGIC-null_48_MAGIC_-_3,MAGIC-siRNA_0_ACTIN_-_2,MAGIC-siRNA_0_WAND_-_1,MAGIC-siRNA_12_MAGIC_-_3,MAGIC-siRNA_24_ACTIN_-_2,MAGIC-siRNA_24_WAND_-_1,MAGIC-siRNA_48_MAGIC_-_3,MAGIC-WT_0_ACTIN_-_2,MAGIC-WT_0_WAND_-_1,MAGIC-WT_12_MAGIC_-_3,MAGIC-WT_24_ACTIN_-_2,MAGIC-WT_24_WAND_-_1,MAGIC-WT_48_MAGIC_-_3
E,MAGIC-hypo_0_ACTIN_+_3,MAGIC-hypo_0_WAND_+_2,MAGIC-hypo_12_POOF_+_1,MAGIC-hypo_24_ACTIN_+_3,MAGIC-hypo_24_WAND_+_2,MAGIC-hypo_48_POOF_+_1,MAGIC-null_0_ACTIN_+_3,MAGIC-null_0_WAND_+_2,MAGIC-null_12_POOF_+_1,MAGIC-null_24_ACTIN_+_3,MAGIC-null_24_WAND_+_2,MAGIC-null_48_POOF_+_1,MAGIC-siRNA_0_ACTIN_+_3,MAGIC-siRNA_0_WAND_+_2,MAGIC-siRNA_12_POOF_+_1,MAGIC-siRNA_24_ACTIN_+_3,MAGIC-siRNA_24_WAND_+_2,MAGIC-siRNA_48_POOF_+_1,MAGIC-WT_0_ACTIN_+_3,MAGIC-WT_0_WAND_+_2,MAGIC-WT_12_POOF_+_1,MAGIC-WT_24_ACTIN_+_3,MAGIC-WT_24_WAND_+_2,MAGIC-WT_48_POOF_+_1
F,MAGIC-hypo_0_ACTIN_-_3,MAGIC-hypo_0_WAND_-_2,MAGIC-hypo_12_POOF_-_1,MAGIC-hypo_24_ACTIN_-_3,MAGIC-hypo_24_WAND_-_2,MAGIC-hypo_48_POOF_-_1,MAGIC-null_0_ACTIN_-_3,MAGIC-null_0_WAND_-_2,MAGIC-null_12_POOF_-_1,MAGIC-null_24_ACTIN_-_3,MAGIC-null_24_WAND_-_2,MAGIC-null_48_POOF_-_1,MAGIC-siRNA_0_ACTIN_-_3,MAGIC-siRNA_0_WAND_-_2,MAGIC-siRNA_12_POOF_-_1,MAGIC-siRNA_24_ACTIN_-_3,MAGIC-siRNA_24_WAND_-_2,MAGIC-siRNA_48_POOF_-_1,MAGIC-WT_0_ACTIN_-_3,MAGIC-WT_0_WAND_-_2,MAGIC-WT_12_POOF_-_1,MAGIC-WT_24_ACTIN_-_3,MAGIC-WT_24_WAND_-_2,MAGIC-WT_48_POOF_-_1
G,MAGIC-hypo_0_MAGIC_+_1,MAGIC-hypo_0_WAND_+_3,MAGIC-hypo_12_POOF_+_2,MAGIC-hypo_24_MAGIC_+_1,MAGIC-hypo_24_WAND_+_3,MAGIC-hypo_48_POOF_+_2,MAGIC-null_0_MAGIC_+_1,MAGIC-null_0_WAND_+_3,MAGIC-null_12_POOF_+_2,MAGIC-null_24_MAGIC_+_1,MAGIC-null_24_WAND_+_3,MAGIC-null_48_POOF_+_2,MAGIC-siRNA_0_MAGIC_+_1,MAGIC-siRNA_0_WAND_+_3,MAGIC-siRNA_12_POOF_+_2,MAGIC-siRNA_24_MAGIC_+_1,MAGIC-siRNA_24_WAND_+_3,MAGIC-siRNA_48_POOF_+_2,MAGIC-WT_0_MAGIC_+_1,MAGIC-WT_0_WAND_+_3,MAGIC-WT_12_POOF_+_2,MAGIC-WT_24_MAGIC_+_1,MAGIC-WT_24_WAND_+_3,MAGIC-WT_48_POOF_+_2
H,MAGIC-hypo_0_MAGIC_-_1,MAGIC-hypo_0_WAND_-_3,MAGIC-hypo_12_POOF_-_2,MAGIC-hypo_24_MAGIC_-_1,MAGIC-hypo_24_WAND_-_3,MAGIC-hypo_48_POOF_-_2,MAGIC-null_0_MAGIC_-_1,MAGIC-null_0_WAND_-_3,MAGIC-null_12_POOF_-_2,MAGIC-null_24_MAGIC_-_1,MAGIC-null_24_WAND_-_3,MAGIC-null_48_POOF_-_2,MAGIC-siRNA_0_MAGIC_-_1,MAGIC-siRNA_0_WAND_-_3,MAGIC-siRNA_12_POOF_-_2,MAGIC-siRNA_24_MAGIC_-_1,MAGIC-siRNA_24_WAND_-_3,MAGIC-siRNA_48_POOF_-_2,MAGIC-WT_0_MAGIC_-_1,MAGIC-WT_0_WAND_-_3,MAGIC-WT_12_POOF_-_2,MAGIC-WT_24_MAGIC_-_1,MAGIC-WT_24_WAND_-_3,MAGIC-WT_48_POOF_-_2
I,MAGIC-hypo_0_MAGIC_+_2,MAGIC-hypo_12_ACTIN_+_1,MAGIC-hypo_12_POOF_+_3,MAGIC-hypo_24_MAGIC_+_2,MAGIC-hypo_48_ACTIN_+_1,MAGIC-hypo_48_POOF_+_3,MAGIC-null_0_MAGIC_+_2,MAGIC-null_12_ACTIN_+_1,MAGIC-null_12_POOF_+_3,MAGIC-null_24_MAGIC_+_2,MAGIC-null_48_ACTIN_+_1,MAGIC-null_48_POOF_+_3,MAGIC-siRNA_0_MAGIC_+_2,MAGIC-siRNA_12_ACTIN_+_1,MAGIC-siRNA_12_POOF_+_3,MAGIC-siRNA_24_MAGIC_+_2,MAGIC-siRNA_48_ACTIN_+_1,MAGIC-siRNA_48_POOF_+_3,MAGIC-WT_0_MAGIC_+_2,MAGIC-WT_12_ACTIN_+_1,MAGIC-WT_12_POOF_+_3,MAGIC-WT_24_MAGIC_+_2,MAGIC-WT_48_ACTIN_+_1,MAGIC-WT_48_POOF_+_3
J,MAGIC-hypo_0_MAGIC_-_2,MAGIC-hypo_12_ACTIN_-_1,MAGIC-hypo_12_POOF_-_3,MAGIC-hypo_24_MAGIC_-_2,MAGIC-hypo_48_ACTIN_-_1,MAGIC-hypo_48_POOF_-_3,MAGIC-null_0_MAGIC_-_2,MAGIC-null_12_ACTIN_-_1,MAGIC-null_12_POOF_-_3,MAGIC-null_24_MAGIC_-_2,MAGIC-null_48_ACTIN_-_1,MAGIC-null_48_POOF_-_3,MAGIC-siRNA_0_MAGIC_-_2,MAGIC-siRNA_12_ACTIN_-_1,MAGIC-siRNA_12_POOF_-_3,MAGIC-siRNA_24_MAGIC_-_2,MAGIC-siRNA_48_ACTIN_-_1,MAGIC-siRNA_48_POOF_-_3,MAGIC-WT_0_MAGIC_-_2,MAGIC-WT_12_ACTIN_-_1,MAGIC-WT_12_POOF_-_3,MAGIC-WT_24_MAGIC_-_2,MAGIC-WT_48_ACTIN_-_1,MAGIC-WT_48_POOF_-_3
